epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1605.9,1.27959,2.33154,1.54071,0.38386,0.26278,0.24347,0.0988,2.22025,3.47241,2.28481,0.000553444,0.000553444,0.000553444
2,3256.1,1.37193,1.95576,1.62263,0.4853,0.30889,0.24819,0.09583,2.34044,2.91348,2.49501,0.00108715,0.00108715,0.00108715
3,4854.56,1.40715,1.82563,1.66023,0.33076,0.33611,0.28053,0.14189,2.2695,2.87307,2.34728,0.00159885,0.00159885,0.00159885
4,6397.98,1.37869,1.70974,1.62523,0.39062,0.26514,0.27434,0.13781,2.1976,3.13551,2.3089,0.00156798,0.00156798,0.00156798
5,7941.16,1.34433,1.64181,1.61514,0.45598,0.46555,0.3921,0.19951,2.01437,2.16721,2.08425,0.00153497,0.00153497,0.00153497
6,9485.01,1.2682,1.53135,1.55012,0.48141,0.41611,0.38692,0.19822,2.01431,2.16436,2.09287,0.00150197,0.00150197,0.00150197
7,11025.4,1.2438,1.46691,1.52692,0.54709,0.43722,0.48529,0.24111,1.91056,1.94101,1.96493,0.00146896,0.00146896,0.00146896
8,12569.8,1.21829,1.40835,1.50833,0.50919,0.40222,0.43361,0.22986,1.84885,2.0061,1.97289,0.00143595,0.00143595,0.00143595
9,14114.9,1.21126,1.40006,1.50156,0.45667,0.46,0.44983,0.23765,1.91125,2.01788,2.06937,0.00140295,0.00140295,0.00140295
10,15675.3,1.17138,1.33898,1.47328,0.39036,0.46611,0.40067,0.23075,1.84128,2.27665,1.94128,0.00136994,0.00136994,0.00136994
11,17278.5,1.1478,1.30638,1.45407,0.69489,0.32778,0.37501,0.19619,1.9579,2.26661,2.04312,0.00133693,0.00133693,0.00133693
12,18849.6,1.14869,1.28839,1.45156,0.58321,0.50301,0.54046,0.26627,1.82476,1.76495,1.90444,0.00130393,0.00130393,0.00130393
13,20421.9,1.13563,1.24813,1.44239,0.5387,0.48833,0.51049,0.26329,1.85177,1.7968,1.963,0.00127092,0.00127092,0.00127092
14,22006.2,1.11557,1.21753,1.42972,0.64676,0.49111,0.54933,0.28583,1.85057,1.80867,1.87652,0.00123791,0.00123791,0.00123791
15,23592.3,1.10023,1.20438,1.41353,0.47187,0.52444,0.49859,0.26175,1.87337,1.85696,1.97022,0.00120491,0.00120491,0.00120491
16,25149.5,1.09617,1.17482,1.41754,0.47333,0.48667,0.47865,0.27053,1.84811,1.79843,1.9129,0.0011719,0.0011719,0.0011719
17,26717.9,1.11832,1.18959,1.41696,0.66179,0.48444,0.57437,0.28632,1.82991,1.68479,1.86958,0.00113889,0.00113889,0.00113889
18,28300.6,1.09126,1.14753,1.40465,0.64025,0.53944,0.5808,0.27198,1.85313,1.66009,1.93607,0.00110589,0.00110589,0.00110589
19,29892.3,1.06237,1.12614,1.38609,0.5492,0.56333,0.54927,0.28335,1.80412,1.6915,1.87941,0.00107288,0.00107288,0.00107288
20,31483.2,1.06976,1.11562,1.38377,0.47926,0.59611,0.5443,0.25587,1.80531,1.80244,1.84995,0.00103987,0.00103987,0.00103987
21,33050.7,1.05039,1.08297,1.3694,0.62799,0.53167,0.52902,0.27158,1.85584,1.87095,1.91704,0.00100687,0.00100687,0.00100687
22,34581.7,1.05804,1.0859,1.37594,0.54449,0.56556,0.55932,0.28637,1.82419,1.62958,1.90165,0.000973861,0.000973861,0.000973861
23,36111.8,1.04132,1.07058,1.35747,0.62548,0.57056,0.60098,0.33039,1.70984,1.54051,1.7793,0.000940855,0.000940855,0.000940855
24,37641.7,1.05412,1.06834,1.36871,0.64114,0.5817,0.61495,0.3196,1.75983,1.5536,1.82795,0.000907848,0.000907848,0.000907848
25,39169.5,1.01126,1.02096,1.33832,0.66141,0.64167,0.66595,0.33941,1.70878,1.47356,1.79382,0.000874842,0.000874842,0.000874842
26,40700.2,0.99795,0.99466,1.32867,0.6558,0.59043,0.62269,0.31384,1.7717,1.55283,1.83892,0.000841835,0.000841835,0.000841835
27,42233.7,1.00096,1.00522,1.33017,0.57144,0.62949,0.61343,0.32216,1.70767,1.50941,1.78655,0.000808828,0.000808828,0.000808828
28,43764.8,0.98838,0.97568,1.32537,0.6096,0.60222,0.61823,0.31786,1.74512,1.50835,1.78796,0.000775822,0.000775822,0.000775822
29,45298.6,0.99458,0.97023,1.323,0.67542,0.62333,0.6252,0.31917,1.7215,1.4827,1.81553,0.000742815,0.000742815,0.000742815
30,46830.3,0.97953,0.9482,1.31775,0.65501,0.6,0.63242,0.32237,1.76703,1.48619,1.82945,0.000709809,0.000709809,0.000709809
31,48364.5,0.98347,0.95195,1.31718,0.6534,0.63833,0.6564,0.34489,1.71412,1.45661,1.80204,0.000676802,0.000676802,0.000676802
32,49896.5,0.97278,0.94083,1.30607,0.62899,0.66618,0.64786,0.33107,1.74534,1.50139,1.8446,0.000643795,0.000643795,0.000643795
33,51427.6,0.95661,0.91352,1.29643,0.67247,0.61611,0.63979,0.34863,1.71416,1.45292,1.78782,0.000610789,0.000610789,0.000610789
34,52957.4,0.95146,0.90779,1.29582,0.62265,0.64889,0.6408,0.33669,1.73235,1.46064,1.76838,0.000577782,0.000577782,0.000577782
35,54483.6,0.95011,0.91085,1.29144,0.63682,0.56444,0.60638,0.32531,1.70794,1.485,1.79127,0.000544776,0.000544776,0.000544776
36,56011.5,0.94437,0.89052,1.28645,0.63222,0.6108,0.61456,0.31389,1.76561,1.53637,1.86579,0.000511769,0.000511769,0.000511769
37,57539,0.94402,0.8861,1.28552,0.63581,0.63278,0.63378,0.3322,1.7969,1.46448,1.85129,0.000478762,0.000478762,0.000478762
38,59069.8,0.92877,0.86476,1.28168,0.7024,0.63869,0.67493,0.33948,1.73361,1.39755,1.80552,0.000445756,0.000445756,0.000445756
39,60598.8,0.93755,0.87786,1.27931,0.66832,0.63523,0.6687,0.36178,1.71912,1.39854,1.75921,0.000412749,0.000412749,0.000412749
40,62128.4,0.90433,0.84137,1.26124,0.73908,0.61889,0.6844,0.36924,1.71888,1.3495,1.77858,0.000379743,0.000379743,0.000379743
41,63649.9,0.98846,0.81955,1.32704,0.73767,0.60556,0.66848,0.35315,1.71773,1.37627,1.7885,0.000346736,0.000346736,0.000346736
42,65170,0.96069,0.79387,1.30531,0.62897,0.67875,0.65998,0.3499,1.73213,1.3823,1.79143,0.000313729,0.000313729,0.000313729
43,66695.2,0.94854,0.76125,1.30632,0.67893,0.63019,0.66314,0.35164,1.71984,1.40338,1.78344,0.000280723,0.000280723,0.000280723
44,68215.5,0.92625,0.73628,1.28041,0.723,0.63833,0.66054,0.33893,1.75012,1.39224,1.81819,0.000247716,0.000247716,0.000247716
45,69736.2,0.92122,0.73043,1.28333,0.68394,0.59156,0.65069,0.35124,1.73103,1.36089,1.78346,0.00021471,0.00021471,0.00021471
46,71251.5,0.91748,0.703,1.27159,0.6424,0.665,0.66211,0.35912,1.70047,1.32913,1.75979,0.000181703,0.000181703,0.000181703
47,72781.5,0.89757,0.69797,1.26417,0.66167,0.61333,0.62065,0.34161,1.70403,1.38476,1.77307,0.000148696,0.000148696,0.000148696
48,74314.7,0.90022,0.6868,1.25263,0.69993,0.64,0.66542,0.35507,1.6836,1.35214,1.75272,0.00011569,0.00011569,0.00011569
49,75856.2,0.88993,0.6705,1.25144,0.72445,0.66167,0.67939,0.35529,1.71455,1.33006,1.76544,8.26832e-05,8.26832e-05,8.26832e-05
50,77399.7,0.8809,0.66933,1.24285,0.72125,0.64795,0.67069,0.35215,1.72166,1.33031,1.78015,4.96766e-05,4.96766e-05,4.96766e-05
